Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
;;;;;;;
08111  STUTTGART,STADT;207.228;86.990;2.235;8.136;2.597;2.712;66
08115  BOEBLINGEN;167.960;79.564;1.444;6.011;1.551;1.930;61
08116  ESSLINGEN;225.817;99.591;1.977;4.648;920;1.319;67
08117  GOEPPINGEN;109.504;53.058;1.293;1.852;305;471;37
08118  LUDWIGSBURG;233.532;91.756;2.189;4.368;1.022;1.323;72
08119  REMS-MURR-KREIS;183.867;75.590;1.859;3.069;709;973;49
08121  HEILBRONN,STADT;45.133;20.976;501;922;187;219;9
08125  HEILBRONN;155.801;82.236;1.562;3.776;547;772;39
08126  HOHENLOHEKREIS;45.413;36.388;607;891;150;260;11
08127  SCHWAEBISCH-HALL;76.673;49.969;1.153;1.116;250;410;24
08128  MAIN-TAUBER-KREIS;53.777;33.466;711;1.158;160;180;18
08135  HEIDENHEIM;54.326;28.227;679;667;130;193;11
08136  OSTALBKREIS;128.957;72.648;1.296;2.329;518;559;16
;1.687.988;810.459;17.506;38.943;9.046;11.321;480
08211  BADEN-BADEN,STADT;22.259;12.003;153;526;111;144;7
08212  KARLSRUHE,STADT;91.260;46.526;1.240;2.010;423;737;32
08215  KARLSRUHE;187.591;86.688;1.962;2.858;513;920;49
08216  RASTATT;100.301;48.533;946;1.637;248;394;23
08221  HEIDELBERG,STADT;39.354;19.741;400;911;148;290;23
08222  MANNHEIM,STADT;100.483;48.653;978;2.267;404;436;17
08225  NECKAR-ODENWALD-KREIS;59.285;33.295;652;825;159;182;15
08226  RHEIN-NECKAR-KREIS;234.233;110.048;2.212;5.016;2.105;1.215;60
08231  PFORZHEIM,STADT;41.673;19.077;401;744;161;189;8
08235  CALW;66.110;36.971;793;887;141;458;22
08236  ENZKREIS;90.204;39.456;988;1.204;272;440;31
08237  FREUDENSTADT;46.213;29.410;459;760;123;209;10
;1.078.966;530.401;11.184;19.645;4.808;5.614;297
08311  FREIBURG I.BREISG.STADT;57.879;32.925;805;1.245;285;461;25
08315  BREISGAU-HOCHSCHWARZWALD;102.129;53.427;993;1.644;313;653;46
08316  EMMENDINGEN;66.881;32.253;667;930;171;332;16
08317  ORTENAUKREIS;177.320;91.622;1.464;2.068;476;714;46
08325  ROTTWEIL;58.187;34.213;516;774;143;198;17
