Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
08326  SCHWARZWALD-BAAR-KREIS;84.865;44.385;738;1.560;286;304;36
08327  TUTTLINGEN;54.971;32.136;453;935;199;231;16
08335  KONSTANZ;109.782;46.651;1.266;2.003;355;539;33
08336  LOERRACH;93.036;40.720;515;1.768;293;556;37
08337  WALDSHUT;71.188;34.469;409;1.033;222;384;32
;876.238;442.801;7.826;13.960;2.743;4.372;304
08415  REUTLINGEN;118.385;57.909;1.419;1.846;513;562;28
08416  TUEBINGEN;80.542;42.377;1.298;1.414;352;414;28
08417  ZOLLERNALBKREIS;83.222;42.385;875;1.243;222;318;16
08421  ULM,STADT;40.423;24.628;470;858;210;288;15
08425  ALB-DONAU-KREIS;79.952;45.901;822;863;172;323;23
08426  BIBERACH;79.183;49.995;778;953;167;368;13
08435  BODENSEEKREIS;89.693;45.330;854;1.851;395;493;30
08436  RAVENSBURG;110.359;66.575;1.095;1.338;320;619;36
08437  SIGMARINGEN;52.328;32.152;664;1.027;126;171;13
;734.087;407.252;8.275;11.393;2.477;3.556;202
;4.377.279;2.190.913;44.791;83.941;19.074;24.863;1.283
09161  INGOLSTADT,STADT;60.391;31.774;955;6.745;660;928;14
09162  MUENCHEN,STADT;446.481;264.201;3.652;20.082;5.588;5.695;133
09163  ROSENHEIM,STADT;21.807;12.367;207;356;76;115;5
09171  ALTOETTING;44.743;24.933;374;764;127;222;10
09172  BERCHTESGADENER LAND;41.802;22.433;285;553;132;168;10
09173  BAD TOELZ-WOLFRATSHAUSEN;48.218;30.276;474;933;222;279;17
09174  DACHAU;59.266;31.180;640;1.065;200;311;16
09175  EBERSBERG;52.828;30.004;467;1.100;274;399;14
09176  EICHSTAETT;51.151;31.497;554;734;105;231;10
09177  ERDING;53.638;33.377;508;1.352;171;312;17
09178  FREISING;64.148;42.372;750;1.185;221;629;19
09179  FUERSTENFELDBRUCK;80.945;39.343;769;1.454;317;438;18
09180  GARMISCH-PARTENKIRCHEN;33.046;17.930;309;488;94;137;13
09181  LANDSBERG AM LECH;48.836;30.763;643;1.005;189;456;18
09182  MIESBACH;39.917;24.607;291;777;174;266;15
09183  MUEHLDORF A.INN;45.894;26.970;388;863;116;232;8
09184  MUENCHEN;145.489;90.587;1.053;5.764;1.796;1.579;41
09185  NEUBURG-SCHROBENHAUSEN;39.528;24.378;444;635;119;144;8
09186  PFAFFENHOFEN A.D.ILM;48.979;32.733;672;773;134;320;10
09187  ROSENHEIM;105.818;61.595;988;1.502;358;720;24
09188  STARNBERG;54.448;30.499;458;1.264;372;585;14
09189  TRAUNSTEIN;72.298;41.810;651;954;213;457;15
09190  WEILHEIM-SCHONGAU;54.772;31.384;623;784;198;306;9
;1.714.443;1.007.013;16.155;51.132;11.856;14.929;458
09261  LANDSHUT,STADT;23.197;13.386;242;514;114;128;9
09262  PASSAU,STADT;17.934;9.997;109;460;69;95;9
09263  STRAUBING,STADT;17.568;9.521;161;250;59;60;5
09271  DEGGENDORF;46.560;30.332;564;505;131;173;10
09272  FREYUNG-GRAFENAU;31.123;20.824;239;292;69;75;4
09273  KELHEIM;46.402;32.322;687;573;127;233;16
09274  LANDSHUT;61.800;44.152;788;1.232;264;346;13
09275  PASSAU;81.169;44.679;519;902;188;310;32
09276  REGEN;29.888;19.275;248;355;66;156;5
09277  ROTTAL-INN;49.745;31.306;461;668;141;213;20
09278  STRAUBING-BOGEN;40.980;26.344;454;483;81;146;9
09279  DINGOLFING-LANDAU;39.402;28.753;466;482;221;266;4
;485.768;310.891;4.938;6.716;1.530;2.201;136
09361  AMBERG,STADT;16.360;8.217;129;347;62;108;5
09362  REGENSBURG,STADT;57.040;33.320;595;1.360;328;446;17
09363  WEIDEN I.D.OPF.,STADT;16.845;8.855;162;217;40;50;9
09371  AMBERG-SULZBACH;43.725;25.141;404;466;98;192;14
09372  CHAM;54.384;32.939;710;425;84;182;15
09373  NEUMARKT I.D.OPF.;53.646;33.642;504;732;144;252;8
09374  NEUSTADT A.D.WALDNAAB;40.424;23.455;380;410;104;122;11
09375  REGENSBURG;77.626;45.425;1.082;1.130;234;379;27
09376  SCHWANDORF;59.394;38.707;815;792;154;184;16
09377  TIRSCHENREUTH;31.488;16.700;237;234;41;76;7
;450.932;266.401;5.018;6.113;1.289;1.991;129
09461  BAMBERG,STADT;25.704;14.237;360;459;97;208;11
09462  BAYREUTH,STADT;25.577;13.193;215;494;90;131;5
09463  COBURG,STADT;16.412;8.164;140;275;42;84;8
09464  HOF,STADT;18.324;7.191;126;236;43;69;6
09471  BAMBERG;63.767;35.757;665;576;119;258;19
09472  BAYREUTH;46.011;24.242;414;460;78;140;10
09473  COBURG;39.968;17.417;444;409;89;148;5
09474  FORCHHEIM;50.338;25.958;453;667;160;284;14
09475  HOF;42.876;19.789;435;363;71;104;12
09476  KRONACH;29.968;14.617;228;273;65;78;20
09477  KULMBACH;32.107;16.336;342;478;81;107;9
09478  LICHTENFELS;29.472;14.392;245;181;54;94;15
09479  WUNSIEDEL I.FICHTELGEB.;32.017;14.401;218;338;68;85;16
;452.541;225.694;4.285;5.209;1.057;1.790;150
09561  ANSBACH,STADT;15.973;8.918;223;322;66;99;1
09562  ERLANGEN,STADT;35.708;18.524;354;758;177;221;7
09563  FUERTH,STADT;42.572;19.501;401;789;151;208;11
09564  NUERNBERG,STADT;157.492;83.383;1.318;3.817;625;798;37
09565  SCHWABACH,STADT;17.684;7.747;110;553;58;118;6
09571  ANSBACH;76.638;45.844;950;807;178;311;25
09572  ERLANGEN-HOECHSTADT;57.726;31.676;551;1.030;363;384;26
09573  FUERTH;52.590;22.586;378;704;147;244;16
09574  NUERNBERGER LAND;72.059;36.215;564;1.502;232;379;13
09575  NEUSTADT/AISCH-WINDSHEIM;39.945;25.696;505;563;156;250;21
09576  ROTH;53.763;30.683;431;915;133;258;16
09577  WEISSENBURG-GUNZENHAUSEN;38.391;22.478;449;477;94;211;12
;660.541;353.251;6.234;12.237;2.380;3.481;191
09661  ASCHAFFENBURG,STADT;28.419;14.008;372;496;94;120;8
09662  SCHWEINFURT,STADT;17.276;10.587;270;446;132;82;6
09663  WUERZBURG,STADT;40.602;21.761;698;906;194;267;14
09671  ASCHAFFENBURG;76.854;38.183;892;1.114;243;356;20
09672  BAD KISSINGEN;41.873;26.983;654;417;89;248;14
09673  RHOEN-GRABFELD;30.494;22.446;504;390;85;397;16
09674  HASSBERGE;33.036;24.017;639;302;79;159;14
09675  KITZINGEN;37.880;22.067;528;638;125;198;11
09676  MILTENBERG;52.893;29.678;642;1.139;175;161;15
09677  MAIN-SPESSART;52.492;30.820;822;787;137;201;14
09678  SCHWEINFURT;49.269;27.372;777;593;143;291;24
09679  WUERZBURG;68.105;35.273;1.182;1.016;202;397;17
;529.193;303.195;7.980;8.244;1.698;2.877;173
09761  AUGSBURG,STADT;91.300;43.170;1.318;2.208;317;373;27
09762  KAUFBEUREN,STADT;16.561;7.991;185;308;41;67;1
09763  KEMPTEN(ALLGAEU),STADT;24.551;13.950;227;488;92;134;6
09764  MEMMINGEN,STADT;16.477;9.622;171;252;62;68;2
09771  AICHACH-FRIEDBERG;55.382;29.283;676;933;145;250;10
09772  AUGSBURG;109.064;51.937;1.167;2.119;329;470;25
09773  DILLINGEN A.D.DONAU;40.950;22.723;461;654;87;138;15
09774  GUENZBURG;51.453;31.346;479;612;117;174;14
09775  NEU-ULM;72.188;35.868;712;880;151;284;21
09776  LINDAU (BODENSEE);33.701;17.713;305;391;96;191;9
09777  OSTALLGAEU;56.938;32.679;721;793;156;307;17
09778  UNTERALLGAEU;61.084;35.732;642;738;122;243;21
09779  DONAU-RIES;55.637;33.932;602;994;154;256;10
09780  OBERALLGAEU;62.982;36.289;489;691;194;347;15
;748.268;402.235;8.155;12.061;2.063;3.302;193
;5.041.686;2.868.680;52.765;101.712;21.873;30.571;1.430
11000  BERLIN;886.950;288.648;15.215;25.349;3.538;4.886;385
;886.950;288.648;15.215;25.349;3.538;4.886;385
12051  BRANDENBURG/HAVEL,STADT;25.205;8.557;220;426;51;53;15
12052  COTTBUS, STADT;36.060;11.733;335;585;49;60;23
12053  FRANKFURT/ODER,STADT;21.315;6.161;317;301;40;35;16
12054  POTSDAM,STADT;52.739;20.877;811;1.012;201;256;34
12060  BARNIM;75.111;27.689;1.318;1.166;160;201;34
12061  DAHME-SPREEWALD;70.534;30.073;1.347;1.391;182;208;36
12062  ELBE-ELSTER;43.448;18.423;592;552;46;89;35
12063  HAVELLAND;65.470;25.884;1.013;1.268;129;187;32
12064  MAERKISCH-ODERLAND;82.958;30.996;1.376;1.307;171;162;45
12065  OBERHAVEL;86.831;32.432;1.559;1.467;176;252;34
12066  OBERSPREEWALD-LAUSITZ;45.744;18.724;533;622;52;45;32
12067  ODER-SPREE;75.154;29.550;1.123;901;119;140;32
12068  OSTPRIGNITZ-RUPPIN;38.473;18.688;637;344;60;76;19
12069  POTSDAM-MITTELMARK;85.393;39.990;1.288;1.223;244;340;39
12070  PRIGNITZ;30.277;14.577;358;294;33;43;14
12071  SPREE-NEISSE;51.027;18.502;528;476;61;96;28
12072  TELTOW-FLAEMING;69.862;30.528;1.221;975;185;187;30
12073  UCKERMARK;48.724;18.339;588;630;60;91;23
;1.004.325;401.723;15.164;14.940;2.019;2.521;521
04011  BREMEN, STADT;162.202;75.049;2.609;3.172;521;650;42
04012  BREMERHAVEN,STADT;34.484;14.959;587;676;72;102;15
;196.686;90.008;3.196;3.848;593;752;57
02000  HAMBURG;529.621;250.058;5.622;15.353;2.502;3.395;147
;529.621;250.058;5.622;15.353;2.502;3.395;147
06411  DARMSTADT,STADT;48.298;22.542;729;1.269;293;398;11
06412  FRANKFURT AM MAIN,STADT;201.787;127.784;2.380;6.984;1.591;1.291;69
06413  OFFENBACH AM MAIN,STADT;36.864;18.299;512;958;129;171;23
06414  WIESBADEN,STADT;113.096;46.885;1.197;2.222;586;570;32
06431  BERGSTRASSE;119.080;52.039;1.375;2.026;377;537;29
06432  DARMSTADT-DIEBURG;129.528;53.580;1.996;2.802;486;568;25
06433  GROSS-GERAU;108.353;46.921;1.498;1.723;385;620;22
06434  HOCHTAUNUSKREIS;111.035;52.613;1.049;3.230;624;753;51
06435  MAIN-KINZIG-KREIS;171.999;80.028;2.022;3.518;406;549;53
06436  MAIN-TAUNUS-KREIS;126.238;60.865;927;3.899;560;503;28
06437  ODENWALDKREIS;41.568;19.247;619;793;121;150;4
06438  OFFENBACH;146.714;62.814;1.736;3.077;530;483;37
06439  RHEINGAU-TAUNUS-KREIS;82.876;35.743;999;1.466;368;425;30
06440  WETTERAUKREIS;127.659;59.002;1.388;2.520;545;459;34
;1.565.095;738.362;18.427;36.487;7.001;7.477;448
06531  GIESSEN;100.504;50.088;1.584;1.887;313;448;35
06532  LAHN-DILL-KREIS;107.546;52.597;1.249;1.269;244;316;41
06533  LIMBURG-WEILBURG;72.597;36.149;1.119;1.230;210;286;26
06534  MARBURG-BIEDENKOPF;95.818;43.662;1.237;1.132;161;372;21
06535  VOGELSBERGKREIS;46.139;24.182;579;631;67;114;17
;422.604;206.678;5.768;6.149;995;1.536;140
06611  KASSEL,STADT;59.104;28.793;1.003;1.101;228;288;12
06631  FULDA;90.403;48.879;1.050;1.142;174;292;29
06632  HERSFELD-ROTENBURG;50.772;26.505;778;427;84;145;19
06633  KASSEL, LAND;102.200;43.909;1.588;1.204;243;367;32
06634  SCHWALM-EDER-KREIS;77.711;37.996;1.484;803;143;265;24
06635  WALDECK-FRANKENBERG;67.480;34.939;1.191;622;113;216;17
06636  WERRA-MEISSNER-KREIS;40.737;20.704;694;310;71;84;12
;488.407;241.725;7.788;5.609;1.056;1.657;145
;2.476.106;1.186.765;31.983;48.245;9.052;10.670;733
13003  ROSTOCK, STADT;59.682;23.838;692;931;111;140;38
13004  SCHWERIN, STADT;30.044;13.108;394;524;65;69;24
13071  MECKLENBURGISCHE SEENPLA.;94.893;46.919;970;1.182;122;129;42
13072  ROSTOCK;79.097;44.400;920;1.043;173;168;48
13073  VORPOMMERN-RUEGEN;81.072;39.676;802;1.056;127;154;34
13074  NORDWESTMECKLENBURG;58.210;30.374;909;535;84;121;19
13075  VORPOMMERN-GREIFSWALD;85.320;37.566;891;1.052;100;117;44
13076  LUDWIGSLUST-PARCHIM;80.214;45.389;1.227;728;91;105;53
;568.532;281.270;6.805;7.051;873;1.003;302
03101  BRAUNSCHWEIG,STADT;89.064;49.180;1.399;2.354;775;798;20
03102  SALZGITTER,STADT;36.983;17.606;782;344;73;73;5
03103  WOLFSBURG,STADT;82.268;54.481;668;1.026;623;2.054;13
03151  GIFHORN;66.522;38.920;1.046;800;152;176;11
03153  GOSLAR;53.495;25.231;761;624;102;112;15
03154  HELMSTEDT;35.950;18.666;566;343;106;140;6
03155  NORTHEIM;58.465;27.506;836;417;77;157;21
03157  PEINE;56.703;25.653;1.126;498;143;168;11
03158  WOLFENBUETTEL;50.349;22.828;854;466;89;163;16
03159  GÖTTINGEN;122.267;57.349;1.753;1.557;266;386;26
;652.066;337.420;9.791;8.429;2.406;4.227;144
03241  HANNOVER;395.428;175.030;6.434;6.212;1.119;1.534;134
03251  DIEPHOLZ;91.000;46.418;1.546;1.228;180;297;32
03252  HAMELN-PYRMONT;63.791;26.285;995;729;143;198;17
03254  HILDESHEIM;111.134;46.601;1.539;1.285;220;336;24
03255  HOLZMINDEN;30.701;13.333;538;208;45;63;10
03256  NIENBURG(WESER);48.851;26.296;1.036;810;100;240;15
03257  SCHAUMBURG;69.427;29.376;1.252;822;123;220;20
;810.332;363.339;13.340;11.294;1.930;2.888;252
03351  CELLE;70.270;37.054;1.116;748;175;202;23
03352  CUXHAVEN;79.007;43.284;1.760;1.018;133;202;23
03353  HARBURG;105.368;56.565;1.527;2.048;293;432;38
03354  LUECHOW-DANNENBERG;18.358;11.547;692;163;36;51;3
03355  LUENEBURG;65.450;36.145;925;977;188;315;12
03356  OSTERHOLZ;48.141;22.579;984;452;108;201;14
03357  ROTENBURG(WUEMME);64.144;46.065;1.220;859;135;206;17
03358  HEIDEKREIS;53.900;32.216;1.069;502;121;144;11
03359  STADE;80.518;42.146;1.042;1.269;175;296;22
03360  UELZEN;36.774;18.873;474;389;84;105;8
03361  VERDEN;55.882;28.856;910;623;110;161;17
;677.812;375.330;11.719;9.048;1.558;2.315;188
03401  DELMENHORST,STADT;29.464;11.733;552;524;51;70;8
03402  EMDEN,STADT;16.673;7.409;357;132;38;36;6
03403  OLDENBURG(OLDENB),STADT;55.663;30.305;1.380;1.055;174;264;21
03404  OSNABRUECK,STADT;54.991;27.592;964;1.321;262;303;11
03405  WILHELMSHAVEN,STADT;28.623;10.837;583;301;38;42;10
03451  AMMERLAND;49.160;28.928;1.125;508;93;153;26
03452  AURICH;73.920;39.633;2.196;691;147;241;14
03453  CLOPPENBURG;50.355;48.331;1.355;446;105;136;13
03454  EMSLAND;105.758;90.539;2.904;1.232;247;288;14
03455  FRIESLAND;41.869;22.104;1.169;439;52;124;20
03456  GRAFSCHAFT BENTHEIM;42.411;38.934;2.000;643;137;364;11
03457  LEER;62.634;37.750;2.010;573;159;173;15
03458  OLDENBURG(OLDENBURG);50.943;30.355;1.327;633;100;176;17
03459  OSNABRUECK;145.827;79.458;2.579;1.802;341;418;31
03460  VECHTA;47.524;38.314;847;731;138;142;13
03461  WESERMARSCH;33.163;18.933;958;313;56;89;15
03462  WITTMUND;22.518;12.555;660;218;34;42;4
;911.496;573.710;22.966;11.562;2.172;3.061;249
;3.051.706;1.649.799;57.816;40.333;8.066;12.491;833
05111  DUESSELDORF, STADT;194.909;108.660;3.364;6.157;1.432;1.144;59
05112  DUISBURG,STADT;167.619;57.412;5.250;2.183;308;278;38
05113  ESSEN,STADT;212.064;70.673;4.659;3.903;1.092;698;46
05114  KREFELD,STADT;83.204;32.425;2.309;1.340;277;217;16
05116  MOENCHENGLADBACH,STADT;97.261;37.541;2.641;1.351;281;322;29
05117  MUELHEIM A.D.RUHR,STADT;69.683;22.076;1.275;1.155;215;270;8
05119  OBERHAUSEN,STADT;84.115;24.482;2.087;983;150;135;14
05120  REMSCHEID,STADT;44.621;16.002;709;723;132;130;11
05122  SOLINGEN,STADT;69.795;23.105;1.248;1.260;194;263;14
05124  WUPPERTAL,STADT;124.115;44.961;2.409;2.209;497;536;43
05154  KLEVE;114.663;71.165;6.150;1.550;313;336;29
05158  METTMANN;205.164;82.990;3.644;4.415;762;807;34
05162  NEUSS;189.364;77.418;3.816;3.423;565;741;58
05166  VIERSEN;126.667;55.748;4.762;1.424;269;449;43
05170  WESEL;197.291;79.835;6.843;2.569;490;537;42
;1.980.535;804.493;51.166;34.645;6.977;6.863;484
05314  BONN,STADT;104.060;65.927;1.630;3.115;602;490;27
05315  KOELN,STADT;331.016;143.274;5.488;9.359;1.628;1.547;130
05316  LEVERKUSEN,STADT;63.939;24.420;1.177;1.470;234;186;15
05334  AACHEN, STAEDTEREGION;198.927;84.949;5.929;3.388;648;988;51
05358  DUEREN;109.495;48.360;2.590;1.433;259;374;47
05362  RHEIN-ERFT-KREIS;196.508;77.182;3.346;2.990;468;569;94
05366  EUSKIRCHEN;83.618;43.128;1.932;1.360;152;337;24
05370  HEINSBERG;101.393;52.971;5.007;1.525;215;309;26
05374  OBERBERGISCHER KREIS;118.028;55.593;2.042;1.584;318;384;39
05378  RHEIN.-BERGISCHER KREIS;127.406;48.031;2.142;2.523;426;578;24
05382  RHEIN-SIEG-KREIS;250.688;106.169;4.989;4.275;661;936;74
;1.685.078;750.004;36.272;33.022;5.611;6.698;551
05512  BOTTROP,STADT;52.151;14.676;1.325;591;99;115;9
05513  GELSENKIRCHEN,STADT;91.852;27.211;2.426;1.313;211;214;12
05515  MUENSTER,STADT;92.648;50.340;1.834;1.732;398;748;30
05554  BORKEN;129.638;88.533;5.159;1.461;337;502;27
05558  COESFELD;86.575;49.848;2.123;1.394;179;357;14
05562  RECKLINGHAUSEN;260.378;84.434;5.850;3.590;520;578;67
05566  STEINFURT;168.376;98.735;3.793;2.206;363;618;27
05570  WARENDORF;112.320;56.475;2.092;1.312;249;364;17
;993.938;470.252;24.602;13.599;2.356;3.496;203
05711  BIELEFELD,STADT;112.838;54.508;1.936;2.005;355;1.051;25
05754  GUETERSLOH;148.866;75.510;2.355;1.767;387;646;38
05758  HERFORD;111.447;47.332;1.800;1.342;266;419;31
05762  HOEXTER;57.402;30.090;1.144;491;82;178;17
05766  LIPPE;143.738;67.728;2.840;1.574;366;523;47
05770  MINDEN-LUEBBECKE;135.697;62.008;2.313;1.766;317;490;29
05774  PADERBORN;114.781;62.703;2.582;1.802;371;634;18
;824.769;399.879;14.970;10.747;2.144;3.941;205
05911  BOCHUM,STADT;153.156;44.756;2.695;2.120;467;577;27
05913  DORTMUND,STADT;207.069;76.283;3.699;3.332;752;746;41
05914  HAGEN,STADT;71.169;25.200;1.065;1.027;181;222;17
05915  HAMM,STADT;67.648;27.566;1.153;848;133;182;13
05916  HERNE,STADT;58.963;16.422;1.452;707;108;109;16
05954  ENNEPE-RUHR-KREIS;144.359;49.280;2.599;2.056;445;493;30
05958  HOCHSAUERLANDKREIS;106.506;57.242;1.459;1.189;206;300;25
05962  MAERKISCHER KREIS;175.741;71.773;2.615;2.559;429;392;41
05966  OLPE;58.353;29.547;570;719;157;182;19
05970  SIEGEN-WITTGENSTEIN;120.069;52.674;1.132;1.814;343;311;23
05974  SOEST;124.620;61.219;2.288;1.461;378;556;28
05978  UNNA;169.670;64.083;2.988;2.247;363;579;53
;1.457.323;576.045;23.715;20.079;3.962;4.649;333
;6.941.643;3.000.673;150.725;112.092;21.050;25.647;1.776
07111  KOBLENZ,STADT;40.705;21.704;461;701;174;135;8
07131  AHRWEILER;56.625;26.742;1.008;756;151;152;11
07132  ALTENKIRCHEN(WESTWLD.);56.177;26.082;827;646;101;140;21
07133  BAD KREUZNACH;66.823;31.165;885;837;154;220;12
07134  BIRKENFELD;35.374;15.953;271;504;66;73;13
07135  COCHEM-ZELL;24.507;16.081;420;189;37;64;6
07137  MAYEN-KOBLENZ;92.475;43.582;1.125;1.088;201;269;21
07138  NEUWIED;78.518;38.472;1.474;1.010;177;242;22
07140  RHEIN-HUNSRUECK-KREIS;41.206;27.422;562;577;70;138;9
07141  RHEIN-LAHN-KREIS;54.152;24.320;834;561;98;137;17
07143  WESTERWALDKREIS;87.172;46.883;1.139;1.015;222;254;23
;633.734;318.406;9.006;7.884;1.451;1.824;163
07211  TRIER-SAARBURG;93.387;56.213;509;1.499;270;363;20
07231  BERNKASTEL-WITTLICH;44.659;28.875;330;558;85;127;8
07232  EIFELKREIS BITBURG-PRUEM;35.411;29.567;296;630;55;120;11
07233  VULKANEIFEL;23.853;16.506;298;288;57;54;9
;197.310;131.161;1.433;2.975;467;664;48
07311  FRANKENTHAL(PFALZ),STADT;18.443;7.870;208;376;70;52;4
07312  KAISERSLAUTERN,STADT;34.176;13.869;383;747;95;138;10
07313  LANDAU I.D.PFALZ,STADT;18.928;8.023;209;321;64;85;4
07314  LUDWIGSHAFEN A.RH.,STADT;57.604;23.985;610;1.035;255;386;14
07315  MAINZ,STADT;67.403;30.522;747;1.335;333;381;15
07316  NEUSTADT A.D.WSTR.,STADT;22.419;9.946;242;262;69;95;5
07317  PIRMASENS,STADT;16.012;6.500;142;301;35;46;1
07318  SPEYER,STADT;19.938;8.801;258;279;63;68;1
07319  WORMS,STADT;31.938;12.924;315;668;189;105;8
07320  ZWEIBRUECKEN,STADT;14.415;6.324;120;312;27;40;6
07331  ALZEY-WORMS;55.422;28.222;694;660;149;210;16
07332  BAD DUERKHEIM;61.600;27.457;775;714;165;240;16
07333  DONNERSBERGKREIS;31.974;17.072;451;376;58;98;10
07334  GERMERSHEIM;53.958;27.262;603;975;120;137;20
07335  KAISERSLAUTERN;46.270;20.876;476;715;64;126;13
07336  KUSEL;31.855;14.789;288;411;54;50;12
07337  SUEDLICHE WEINSTRASSE;51.195;24.020;504;644;104;180;15
07338  RHEIN-PFALZ-KREIS;72.250;27.857;792;922;164;212;18
07339  MAINZ-BINGEN;91.847;46.456;1.192;1.330;278;470;18
07340  SUEDWESTPFALZ;44.489;21.419;455;590;74;76;29
;842.136;384.194;9.464;12.973;2.430;3.195;235
;1.673.180;833.761;19.903;23.832;4.348;5.683;446
10041  SAARBRUECKEN,STADTVERB.;130.676;57.153;814;2.554;318;384;28
10042  MERZIG-WADERN;44.525;25.778;270;725;81;101;5
10043  NEUNKIRCHEN;60.153;24.360;463;1.066;178;126;28
10044  SAARLOUIS;92.129;39.504;529;1.183;151;201;38
10045  SAAR-PFALZ-KREIS;66.335;29.824;534;1.106;136;207;32
10046  SANKT WENDEL;40.999;19.577;369;537;51;85;14
;434.817;196.196;2.979;7.171;915;1.104;145
14511  CHEMNITZ, STADT;89.883;33.624;821;1.397;166;238;59
14521  ERZGEBIRGSKREIS;145.239;54.549;1.104;1.274;194;167;67
14522  MITTELSACHSEN;125.440;51.290;1.472;1.195;147;179;75
14523  VOGTLANDKREIS;98.197;37.065;747;1.087;119;142;40
14524  ZWICKAU;135.041;47.744;1.193;1.512;207;267;75
;593.800;224.272;5.337;6.465;833;993;316
14612  DRESDEN, STADT;157.940;64.264;1.831;3.657;421;629;98
14625  BAUTZEN;128.342;49.404;1.385;1.439;172;207;90
14626  GOERLITZ;107.301;34.039;1.047;858;115;139;82
14627  MEISSEN;96.092;39.011;976;1.444;123;185;67
14628  SAECHS.SCHWEIZ-OSTERZGEB.;101.443;38.554;1.026;1.472;162;191;66
;591.118;225.272;6.265;8.870;993;1.351;403
14713  LEIPZIG, STADT;165.623;58.036;2.235;3.330;376;743;107
14729  LEIPZIG;106.157;43.675;1.459;1.254;205;250;65
14730  NORDSACHSEN;80.670;33.005;868;809;113;101;34
;352.450;134.716;4.562;5.393;694;1.094;206
;1.537.368;584.260;16.164;20.728;2.520;3.438;925
15001  DESSAU-ROSSLAU,STADT;31.102;10.054;362;495;45;68;27
15002  HALLE (SAALE),STADT;70.293;21.800;814;1.167;135;97;58
15003  MAGDEBURG, STADT;80.353;28.884;777;1.113;191;265;43
15081  ALTMARKKREIS SALZWEDEL;31.763;18.311;408;312;43;57;18
15082  ANHALT-BITTERFELD;67.778;23.791;488;657;68;83;42
15083  BOERDE;71.412;33.002;803;537;104;125;33
15084  BURGENLANDKREIS;73.296;27.037;901;752;124;105;63
15085  HARZ;83.829;37.091;1.088;877;136;102;55
15086  JERICHOWER LAND;37.128;16.657;348;418;42;55;23
15087  MANSFELD-SUEDHARZ;56.062;22.631;413;590;53;71;31
15088  SAALEKREIS;81.127;31.072;884;1.150;143;121;50
15089  SALZLANDKREIS;75.804;27.809;829;851;63;60;65
15090  STENDAL;41.319;21.398;456;456;46;55;15
15091  WITTENBERG;54.386;19.605;573;695;64;68;33
;855.652;339.142;9.144;10.070;1.257;1.332;556
01001  FLENSBURG,STADT;27.143;16.446;283;525;117;144;15
01002  KIEL,STADT;73.130;35.472;754;1.390;267;352;18
01003  LUEBECK,STADT;67.344;30.211;845;941;187;310;16
01004  NEUMUENSTER,STADT;27.532;14.002;362;444;59;71;5
