Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
01058  RENDSBURG-ECKERNFOERDE;101.773;64.345;1.522;680;93;140;17
01059  SCHLESWIG-FLENSBURG;70.565;51.050;1.190;346;68;153;24
01060  SEGEBERG;104.553;55.248;1.519;795;131;169;28
01061  STEINBURG;50.184;27.897;766;255;37;52;16
01062  STORMARN;96.028;49.455;1.300;789;115;146;34
;1.046.220;569.267;14.701;7.052;1.222;1.806;291
16051  ERFURT, STADT;66.297;28.778;869;498;119;115;31
16052  GERA, STADT;32.657;12.168;404;234;23;18;18
16053  JENA, STADT;29.995;13.763;367;336;38;48;23
16054  SUHL, STADT;13.212;5.805;133;160;9;5;8
16055  WEIMAR, STADT;19.772;8.589;240;166;26;26;11
16056  EISENACH, STADT;15.477;5.913;178;122;14;17;10
16061  EICHSFELD;38.868;19.984;693;142;54;21;15
16062  NORDHAUSEN;33.279;13.100;444;133;21;53;9
16063  WARTBURGKREIS;51.445;22.768;732;228;34;38;22
16064  UNSTRUT-HAINICH-KREIS;38.797;16.636;570;198;37;25;11
16065  KYFFHAEUSERKREIS;31.429;12.382;357;94;15;11;20
16066  SCHMALKALDEN-MEININGEN;48.986;23.990;580;278;42;51;33
16067  GOTHA;52.593;21.706;634;238;44;46;36
16068  SOEMMERDA;27.574;12.024;344;94;18;10;13
16069  HILDBURGHAUSEN;25.457;13.323;292;111;10;9;18
16070  ILM-KREIS;40.078;18.219;513;220;31;100;23
16071  WEIMARER-LAND;32.591;14.517;429;188;25;21;9
16072  SONNEBERG;24.056;8.872;262;111;15;14;14
16073  SAALFELD-RUDOLSTADT;42.609;17.965;492;224;30;18;23
16074  SAALE-HOLZLANDKREIS;33.267;14.758;488;264;25;20;20
16075  SAALE-ORLA-KREIS;33.908;15.699;457;106;19;16;19
16076  GREIZ;41.863;17.583;558;240;23;23;19
16077  ALTENBURGER LAND;38.093;12.428;440;144;19;26;20
;812.303;350.970;10.476;4.529;691;731;425
;7.874;11.120;252;99;54;41;5
;30.451.268;15.225.296;496.742;236.710;44.419;53.861;10.717
