Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
09275  PASSAU;80.336;43.647;586;540;128;180;39
09276  REGEN;29.531;18.935;267;213;51;132;6
09277  ROTTAL-INN;49.484;30.627;503;419;96;147;19
09278  STRAUBING-BOGEN;40.608;25.823;476;328;57;97;8
09279  DINGOLFING-LANDAU;38.570;27.844;517;287;127;136;4
;479.777;304.778;5.277;4.239;1.047;1.367;135
09361  AMBERG,STADT;16.096;8.205;126;253;42;67;7
09362  REGENSBURG,STADT;53.519;33.936;611;797;205;282;22
09363  WEIDEN I.D.OPF.,STADT;16.684;8.961;162;137;32;29;10
09371  AMBERG-SULZBACH;43.323;24.879;437;333;74;128;14
09372  CHAM;53.573;32.090;786;240;59;112;13
09373  NEUMARKT I.D.OPF.;52.796;33.089;560;497;138;160;8
09374  NEUSTADT A.D.WALDNAAB;40.271;22.925;405;271;71;87;11
09375  REGENSBURG;76.608;45.360;1.178;756;154;256;32
09376  SCHWANDORF;58.784;37.966;915;511;111;110;15
09377  TIRSCHENREUTH;31.541;16.304;239;143;30;50;9
;443.195;263.715;5.419;3.938;916;1.281;141
09461  BAMBERG,STADT;25.237;14.304;369;296;66;137;12
09462  BAYREUTH,STADT;25.221;13.356;212;302;58;91;4
09463  COBURG,STADT;16.088;8.374;164;174;33;61;7
09464  HOF,STADT;17.691;7.003;137;145;30;45;4
09471  BAMBERG;63.100;35.200;712;359;85;174;20
09472  BAYREUTH;45.513;24.031;441;311;63;97;12
09473  COBURG;39.724;17.212;479;264;63;100;6
09474  FORCHHEIM;49.706;25.895;489;468;127;195;15
09475  HOF;42.364;19.646;462;230;56;66;15
09476  KRONACH;29.830;14.610;244;169;42;47;19
09477  KULMBACH;31.834;16.271;357;322;54;74;8
09478  LICHTENFELS;29.208;14.290;271;98;34;66;13
09479  WUNSIEDEL I.FICHTELGEB.;31.818;14.224;226;241;54;54;20
;447.334;224.416;4.563;3.379;765;1.207;155
09561  ANSBACH,STADT;15.688;8.923;229;223;41;70;1
09562  ERLANGEN,STADT;35.105;18.733;369;507;129;138;7
09563  FUERTH,STADT;42.108;19.272;398;550;104;142;10
09564  NUERNBERG,STADT;156.346;84.245;1.360;2.272;390;575;39
09565  SCHWABACH,STADT;17.474;7.826;120;408;35;54;6
09571  ANSBACH;75.460;44.984;1.017;540;123;198;25
09572  ERLANGEN-HOECHSTADT;57.102;31.725;581;631;219;236;25
09573  FUERTH;52.000;22.556;408;456;101;161;14
09574  NUERNBERGER LAND;71.045;36.065;602;756;175;258;16
09575  NEUSTADT/AISCH-WINDSHEIM;39.310;25.302;526;405;96;182;17
09576  ROTH;53.162;30.555;465;596;81;161;16
09577  WEISSENBURG-GUNZENHAUSEN;37.873;22.223;470;304;62;126;12
;652.673;352.409;6.545;7.648;1.556;2.301;188
09661  ASCHAFFENBURG,STADT;29.157;14.821;371;297;50;97;9
09662  SCHWEINFURT,STADT;17.215;10.299;273;297;76;67;5
09663  WUERZBURG,STADT;40.367;22.038;735;602;141;168;10
09671  ASCHAFFENBURG;75.449;38.488;890;673;139;211;18
09672  BAD KISSINGEN;41.751;26.382;690;263;62;172;14
09673  RHOEN-GRABFELD;30.445;21.882;549;269;61;325;15
09674  HASSBERGE;32.919;23.287;687;179;57;106;15
09675  KITZINGEN;37.559;21.811;551;447;78;139;13
09676  MILTENBERG;52.416;29.555;695;715;105;101;11
09677  MAIN-SPESSART;52.028;30.672;889;540;104;141;14
09678  SCHWEINFURT;49.155;26.752;837;409;104;206;30
09679  WUERZBURG;67.342;35.277;1.213;665;143;271;19
;525.803;301.264;8.380;5.356;1.120;2.004;173
09761  AUGSBURG,STADT;89.940;43.038;1.379;1.528;218;212;24
09762  KAUFBEUREN,STADT;16.199;7.904;197;194;33;47;2
09763  KEMPTEN(ALLGAEU),STADT;24.199;13.902;257;305;61;96;6
09764  MEMMINGEN,STADT;16.089;9.426;173;161;37;36;2
09771  AICHACH-FRIEDBERG;54.750;28.840;714;638;112;167;9
09772  AUGSBURG;107.761;51.618;1.241;1.459;215;299;30
09773  DILLINGEN A.D.DONAU;40.341;22.269;483;480;63;66;15
09774  GUENZBURG;50.724;30.631;532;385;82;125;13
09775  NEU-ULM;71.074;35.483;750;508;100;165;20
09776  LINDAU (BODENSEE);33.286;17.567;324;249;56;141;10
09777  OSTALLGAEU;56.023;32.172;733;552;112;211;15
09778  UNTERALLGAEU;60.368;34.805;658;501;82;174;22
09779  DONAU-RIES;55.047;33.376;632;636;89;161;9
09780  OBERALLGAEU;62.322;35.601;518;436;151;219;17
;738.123;396.632;8.591;8.032;1.411;2.119;194
;4.977.177;2.857.280;55.463;62.002;14.484;20.063;1.436
11000  BERLIN;875.664;298.450;15.780;17.819;2.244;2.713;364
;875.664;298.450;15.780;17.819;2.244;2.713;364
12051  BRANDENBURG/HAVEL,STADT;25.183;8.476;226;302;28;38;16
12052  COTTBUS, STADT;36.044;11.702;346;384;30;31;23
12053  FRANKFURT/ODER,STADT;21.387;6.138;337;215;27;24;18
12054  POTSDAM,STADT;52.074;21.221;822;660;128;162;35
12060  BARNIM;74.177;27.399;1.349;819;96;133;39
12061  DAHME-SPREEWALD;69.419;29.678;1.416;1.121;113;132;38
12062  ELBE-ELSTER;44.034;18.205;627;401;33;196;33
12063  HAVELLAND;64.650;25.488;1.058;870;84;112;31
12064  MAERKISCH-ODERLAND;82.295;30.336;1.471;920;97;89;47
12065  OBERHAVEL;85.518;32.040;1.617;1.105;119;147;32
12066  OBERSPREEWALD-LAUSITZ;45.961;18.529;563;431;35;35;33
12067  ODER-SPREE;75.137;29.082;1.196;624;76;82;30
12068  OSTPRIGNITZ-RUPPIN;38.432;18.368;663;212;32;51;18
12069  POTSDAM-MITTELMARK;84.221;39.622;1.384;835;148;215;41
12070  PRIGNITZ;30.471;14.074;383;200;17;28;17
12071  SPREE-NEISSE;51.324;18.252;540;328;37;61;25
12072  TELTOW-FLAEMING;68.965;30.135;1.325;650;132;110;29
12073  UCKERMARK;49.045;17.843;613;466;36;53;23
;998.337;396.588;15.936;10.543;1.268;1.699;528
04011  BREMEN, STADT;161.560;75.723;2.737;2.029;341;390;41
04012  BREMERHAVEN,STADT;34.173;14.676;609;505;44;56;15
;195.733;90.399;3.346;2.534;385;446;56
02000  HAMBURG;523.298;254.701;5.914;8.321;1.686;2.233;151
;523.298;254.701;5.914;8.321;1.686;2.233;151
06411  DARMSTADT,STADT;47.120;23.851;715;827;195;224;7
06412  FRANKFURT AM MAIN,STADT;194.532;134.764;2.424;3.775;873;821;97
06413  OFFENBACH AM MAIN,STADT;36.014;18.688;537;609;81;106;20
06414  WIESBADEN,STADT;95.120;47.193;1.199;1.310;362;360;39
06431  BERGSTRASSE;115.532;52.292;1.437;1.309;239;323;32
06432  DARMSTADT-DIEBURG;126.730;55.177;1.851;1.915;325;320;26
06433  GROSS-GERAU;121.892;49.078;1.542;1.087;197;293;20
06434  HOCHTAUNUSKREIS;106.518;56.794;1.024;1.815;369;473;55
06435  MAIN-KINZIG-KREIS;168.975;80.253;2.063;2.473;262;346;50
06436  MAIN-TAUNUS-KREIS;122.686;62.906;959;1.806;340;317;26
06437  ODENWALDKREIS;40.942;19.456;657;558;77;97;5
06438  OFFENBACH;143.710;64.580;1.825;1.970;326;285;42
06439  RHEINGAU-TAUNUS-KREIS;81.315;36.716;1.041;917;237;265;32
06440  WETTERAUKREIS;125.378;59.570;1.450;1.565;308;371;28
;1.526.464;761.318;18.724;21.936;4.191;4.601;479
06531  GIESSEN;98.164;49.854;1.659;1.228;215;250;33
06532  LAHN-DILL-KREIS;106.024;52.548;1.385;777;168;213;46
06533  LIMBURG-WEILBURG;70.951;36.990;1.133;750;127;160;29
06534  MARBURG-BIEDENKOPF;94.440;43.759;1.307;748;117;247;22
06535  VOGELSBERGKREIS;45.826;23.929;634;422;53;74;21
;415.405;207.080;6.118;3.925;680;944;151
06611  KASSEL,STADT;58.788;28.694;1.008;673;140;168;12
06631  FULDA;89.562;48.119;1.153;718;109;174;36
06632  HERSFELD-ROTENBURG;50.600;25.913;821;228;48;114;19
06633  KASSEL, LAND;101.122;43.365;1.667;748;179;237;28
06634  SCHWALM-EDER-KREIS;77.122;37.508;1.578;508;124;190;31
06635  WALDECK-FRANKENBERG;66.731;34.530;1.273;396;82;131;20
06636  WERRA-MEISSNER-KREIS;40.690;20.347;739;214;57;59;13
;484.615;238.476;8.239;3.485;739;1.073;159
;2.426.484;1.206.874;33.081;29.346;5.610;6.618;789
13003  ROSTOCK, STADT;59.556;23.424;765;594;54;84;36
13004  SCHWERIN, STADT;29.948;12.891;413;329;47;54;25
13071  MECKLENBURGISCHE SEENPLA.;95.181;46.126;1.058;800;66;81;42
13072  ROSTOCK;79.025;43.169;972;672;103;94;53
13073  VORPOMMERN-RUEGEN;80.974;38.575;877;726;82;98;32
13074  NORDWESTMECKLENBURG;58.180;29.387;955;360;65;70;19
13075  VORPOMMERN-GREIFSWALD;86.065;36.635;921;745;65;73;42
13076  LUDWIGSLUST-PARCHIM;80.475;44.292;1.380;479;59;72;58
;569.404;274.499;7.341;4.705;541;626;307
03101  BRAUNSCHWEIG,STADT;88.319;53.084;1.471;1.493;621;352;22
03102  SALZGITTER,STADT;36.780;17.039;848;233;72;46;5
03103  WOLFSBURG,STADT;86.245;48.934;704;1.283;1.088;683;13
03151  GIFHORN;65.833;37.908;1.117;565;149;118;8
03153  GOSLAR;53.134;25.120;848;375;77;76;15
03154  HELMSTEDT;35.591;18.401;650;225;88;80;5
03155  NORTHEIM;58.462;26.903;922;250;59;93;24
03157  PEINE;55.926;24.972;1.231;344;114;108;13
03158  WOLFENBUETTEL;49.895;22.510;936;313;71;100;17
03159  GÖTTINGEN;121.965;56.679;1.877;1.031;176;248;29
;652.150;331.550;10.604;6.112;2.515;1.904;151
03241  HANNOVER;391.434;175.161;6.920;4.034;754;961;128
03251  DIEPHOLZ;89.979;45.477;1.649;766;116;215;30
03252  HAMELN-PYRMONT;63.214;25.969;1.035;487;84;125;17
03254  HILDESHEIM;110.028;46.302;1.638;839;137;213;25
03255  HOLZMINDEN;30.657;13.014;581;130;30;37;9
03256  NIENBURG(WESER);48.566;25.677;1.093;573;68;177;17
03257  SCHAUMBURG;68.606;28.931;1.300;562;78;139;20
;802.484;360.531;14.216;7.391;1.267;1.867;246
03351  CELLE;69.656;36.470;1.207;444;110;129;25
03352  CUXHAVEN;78.598;42.547;1.903;671;89;131;24
03353  HARBURG;103.791;56.088;1.646;1.443;207;249;35
03354  LUECHOW-DANNENBERG;18.226;11.220;725;116;20;38;4
03355  LUENEBURG;65.598;35.704;988;636;111;181;10
03356  OSTERHOLZ;47.447;22.361;1.062;273;66;122;13
03357  ROTENBURG(WUEMME);63.690;44.646;1.328;545;74;145;19
03358  HEIDEKREIS;53.526;31.511;1.157;301;85;89;14
03359  STADE;79.381;41.379;1.152;765;112;173;22
03360  UELZEN;36.615;18.454;523;265;58;61;8
03361  VERDEN;55.442;28.567;978;354;75;101;16
;671.970;368.947;12.669;5.813;1.007;1.419;190
03401  DELMENHORST,STADT;29.274;11.633;590;345;31;35;9
03402  EMDEN,STADT;16.483;7.401;370;75;31;24;7
03403  OLDENBURG(OLDENB),STADT;54.814;30.400;1.513;886;128;171;17
03404  OSNABRUECK,STADT;54.297;27.275;1.025;906;167;191;10
03405  WILHELMSHAVEN,STADT;28.341;10.689;639;198;24;19;10
03451  AMMERLAND;48.457;28.488;1.211;309;54;93;23
03452  AURICH;73.119;38.790;2.430;477;100;166;13
03453  CLOPPENBURG;49.920;46.559;1.489;257;71;83;14
03454  EMSLAND;104.581;88.082;3.215;698;170;181;14
03455  FRIESLAND;41.365;21.653;1.298;281;41;84;24
03456  GRAFSCHAFT BENTHEIM;41.846;38.018;2.258;383;80;83;11
03457  LEER;61.966;36.593;2.184;340;92;91;17
03458  OLDENBURG(OLDENBURG);50.270;29.901;1.409;385;65;127;18
03459  OSNABRUECK;144.097;78.202;2.735;1.146;210;255;31
03460  VECHTA;46.877;37.361;946;424;78;91;16
03461  WESERMARSCH;32.994;18.510;1.051;180;32;54;18
03462  WITTMUND;22.373;12.191;742;138;14;20;6
;901.074;561.746;25.105;7.428;1.388;1.768;258
;3.027.678;1.622.774;62.594;26.744;6.177;6.958;845
05111  DUESSELDORF, STADT;189.583;113.441;3.486;3.473;741;567;64
05112  DUISBURG,STADT;164.453;58.316;5.275;1.383;196;147;36
05113  ESSEN,STADT;206.637;73.859;4.690;2.277;607;373;47
05114  KREFELD,STADT;82.017;33.016;2.407;791;143;121;20
05116  MOENCHENGLADBACH,STADT;95.203;38.244;2.791;893;164;167;32
05117  MUELHEIM A.D.RUHR,STADT;67.862;22.980;1.315;683;145;156;9
05119  OBERHAUSEN,STADT;82.528;24.916;2.108;609;106;79;13
05120  REMSCHEID,STADT;43.693;16.403;730;444;77;61;14
05122  SOLINGEN,STADT;66.813;23.568;1.238;783;134;172;13
05124  WUPPERTAL,STADT;121.020;46.458;2.445;1.407;308;330;46
05154  KLEVE;112.021;70.643;6.590;1.000;180;184;32
05158  METTMANN;201.143;85.785;3.727;2.793;443;439;38
05162  NEUSS;184.844;79.880;3.960;2.153;354;376;57
05166  VIERSEN;124.141;56.148;5.049;887;164;229;36
05170  WESEL;192.891;80.768;7.251;1.622;299;279;40
;1.934.849;824.425;53.062;21.198;4.061;3.680;497
05314  BONN,STADT;102.319;69.165;1.579;1.676;360;226;25
05315  KOELN,STADT;318.983;151.837;5.461;5.611;856;820;135
05316  LEVERKUSEN,STADT;62.362;25.049;1.187;883;142;112;12
05334  AACHEN, STAEDTEREGION;193.536;87.987;6.037;2.073;370;551;46
05358  DUEREN;107.076;49.038;2.659;897;157;186;49
05362  RHEIN-ERFT-KREIS;191.706;79.385;3.458;1.951;292;294;91
05366  EUSKIRCHEN;82.802;42.570;2.035;774;97;159;28
05370  HEINSBERG;98.380;53.218;5.146;925;125;189;24
05374  OBERBERGISCHER KREIS;116.148;56.061;2.105;1.018;204;214;41
05378  RHEIN.-BERGISCHER KREIS;124.425;50.057;2.193;1.603;240;298;25
05382  RHEIN-SIEG-KREIS;245.503;108.360;5.127;2.893;430;502;71
;1.643.240;772.727;36.987;20.304;3.273;3.551;547
05512  BOTTROP,STADT;50.932;14.911;1.325;394;72;61;9
05513  GELSENKIRCHEN,STADT;90.135;28.093;2.452;781;141;114;8
05515  MUENSTER,STADT;91.196;51.171;1.903;1.066;273;314;31
05554  BORKEN;127.247;87.081;5.600;835;208;261;29
05558  COESFELD;85.245;49.147;2.325;1.014;125;184;15
05562  RECKLINGHAUSEN;254.936;86.272;6.096;2.385;332;299;61
05566  STEINFURT;166.408;96.720;4.008;1.380;227;347;29
05570  WARENDORF;110.300;55.795;2.327;826;160;206;16
;976.399;469.190;26.036;8.681;1.538;1.786;198
05711  BIELEFELD,STADT;110.894;54.152;2.056;1.271;220;706;29
05754  GUETERSLOH;146.951;74.574;2.481;1.001;230;372;37
05758  HERFORD;110.100;47.256;1.951;833;172;216;30
05762  HOEXTER;56.859;29.583;1.246;304;57;119;14
05766  LIPPE;142.532;66.983;3.027;964;239;320;55
05770  MINDEN-LUEBBECKE;134.373;61.137;2.503;1.076;199;273;32
05774  PADERBORN;113.030;62.155;2.710;1.127;222;346;21
;814.739;395.840;15.974;6.576;1.339;2.352;218
05911  BOCHUM,STADT;146.460;46.020;2.710;1.569;538;333;22
05913  DORTMUND,STADT;201.981;78.188;3.808;2.063;473;383;38
05914  HAGEN,STADT;70.144;25.376;1.079;683;140;130;18
05915  HAMM,STADT;66.762;27.340;1.182;515;90;119;12
05916  HERNE,STADT;57.695;16.983;1.433;436;79;63;17
05954  ENNEPE-RUHR-KREIS;141.229;50.669;2.644;1.251;284;293;31
05958  HOCHSAUERLANDKREIS;104.988;56.899;1.617;718;140;178;24
05962  MAERKISCHER KREIS;173.310;72.492;2.786;1.685;292;240;41
05966  OLPE;57.517;29.682;647;434;116;98;17
05970  SIEGEN-WITTGENSTEIN;118.372;53.117;1.159;1.146;200;202;19
05974  SOEST;122.768;60.770;2.391;957;251;322;27
05978  UNNA;166.685;64.841;3.169;1.497;257;289;52
;1.427.911;582.377;24.625;12.954;2.860;2.650;318
;6.797.138;3.044.559;156.684;69.713;13.071;14.019;1.778
07111  KOBLENZ,STADT;39.482;21.710;479;417;119;76;7
07131  AHRWEILER;55.775;26.640;1.088;470;79;83;12
07132  ALTENKIRCHEN(WESTWLD.);55.296;25.858;815;445;78;83;21
07133  BAD KREUZNACH;65.749;31.028;948;540;112;131;14
07134  BIRKENFELD;35.178;15.771;308;334;42;40;17
07135  COCHEM-ZELL;24.222;15.938;450;123;20;35;6
07137  MAYEN-KOBLENZ;91.265;43.361;1.151;692;108;156;21
07138  NEUWIED;77.028;38.242;1.549;643;108;133;25
07140  RHEIN-HUNSRUECK-KREIS;40.797;27.164;588;380;55;75;10
07141  RHEIN-LAHN-KREIS;53.282;24.485;874;347;60;85;17
07143  WESTERWALDKREIS;85.404;46.775;1.222;618;137;167;21
;623.478;316.972;9.472;5.009;918;1.064;171
07211  TRIER-SAARBURG;91.974;55.930;538;975;169;204;20
07231  BERNKASTEL-WITTLICH;44.268;28.523;368;369;59;89;7
07232  EIFELKREIS BITBURG-PRUEM;34.989;29.104;293;446;47;80;13
07233  VULKANEIFEL;23.629;16.321;322;192;36;34;8
;194.860;129.878;1.521;1.982;311;407;48
07311  FRANKENTHAL(PFALZ),STADT;18.250;7.900;227;247;46;33;4
07312  KAISERSLAUTERN,STADT;33.957;13.973;414;495;59;90;10
07313  LANDAU I.D.PFALZ,STADT;18.669;8.095;215;213;37;44;4
07314  LUDWIGSHAFEN A.RH.,STADT;56.629;24.016;613;663;162;281;14
07315  MAINZ,STADT;65.795;31.767;763;834;210;225;17
07316  NEUSTADT A.D.WSTR.,STADT;22.067;9.961;231;157;47;57;3
07317  PIRMASENS,STADT;15.895;6.490;151;184;18;25;1
07318  SPEYER,STADT;19.638;8.907;285;181;45;48;1
07319  WORMS,STADT;31.443;13.005;360;481;162;72;8
07320  ZWEIBRUECKEN,STADT;14.188;6.278;124;215;17;25;6
07331  ALZEY-WORMS;54.328;28.250;706;427;104;121;17
07332  BAD DUERKHEIM;60.498;27.539;807;465;111;151;15
07333  DONNERSBERGKREIS;31.504;16.966;473;245;42;54;9
07334  GERMERSHEIM;53.655;26.900;601;595;75;92;18
07335  KAISERSLAUTERN;45.934;20.696;498;476;35;83;12
07336  KUSEL;31.764;14.661;309;295;36;33;12
07337  SUEDLICHE WEINSTRASSE;50.573;24.053;539;425;70;107;18
07338  RHEIN-PFALZ-KREIS;71.033;28.053;828;646;106;132;19
07339  MAINZ-BINGEN;89.695;46.838;1.237;888;183;287;17
07340  SUEDWESTPFALZ;44.162;21.326;476;401;47;51;27
;829.677;385.674;9.857;8.533;1.612;2.011;232
;1.648.015;832.524;20.850;15.524;2.841;3.482;451
10041  SAARBRUECKEN,STADTVERB.;129.559;57.828;876;1.786;174;244;27
10042  MERZIG-WADERN;43.687;25.676;286;500;45;66;5
10043  NEUNKIRCHEN;59.720;24.379;495;776;142;87;27
10044  SAARLOUIS;90.819;39.629;522;837;96;122;42
10045  SAAR-PFALZ-KREIS;65.661;29.958;571;736;76;133;33
10046  SANKT WENDEL;40.686;19.589;393;360;34;49;12
;430.132;197.059;3.143;4.995;567;701;146
14511  CHEMNITZ, STADT;89.814;33.473;887;938;95;151;65
14521  ERZGEBIRGSKREIS;146.099;53.804;1.197;824;118;124;73
14522  MITTELSACHSEN;126.158;50.323;1.606;829;106;119;79
14523  VOGTLANDKREIS;98.687;36.375;842;690;85;98;42
14524  ZWICKAU;135.387;47.022;1.337;974;132;191;82
;596.145;220.997;5.869;4.255;536;683;341
14612  DRESDEN, STADT;157.286;63.942;1.916;2.604;281;431;99
14625  BAUTZEN;128.625;48.349;1.503;1.002;112;145;93
14626  GOERLITZ;107.804;33.226;1.094;615;82;97;75
14627  MEISSEN;96.180;38.299;1.053;991;72;116;69
14628  SAECHS.SCHWEIZ-OSTERZGEB.;101.480;37.652;1.080;1.042;103;129;69
;591.375;221.468;6.646;6.254;650;918;405
14713  LEIPZIG, STADT;164.475;57.378;2.337;2.408;252;608;108
14729  LEIPZIG;106.224;43.019;1.536;814;129;148;69
14730  NORDSACHSEN;80.541;32.386;942;502;73;73;36
;351.240;132.783;4.815;3.724;454;829;213
;1.538.760;575.248;17.330;14.233;1.640;2.430;959
15001  DESSAU-ROSSLAU,STADT;31.228;10.123;391;334;35;28;27
15002  HALLE (SAALE),STADT;70.161;21.866;864;891;99;79;54
15003  MAGDEBURG, STADT;80.473;28.767;863;744;142;181;48
15081  ALTMARKKREIS SALZWEDEL;31.981;17.821;447;208;32;39;20
15082  ANHALT-BITTERFELD;67.884;23.557;546;422;51;51;43
15083  BOERDE;71.311;32.434;891;329;66;73;30
15084  BURGENLANDKREIS;73.622;26.565;975;507;88;69;61
15085  HARZ;84.144;36.560;1.167;570;96;74;60
15086  JERICHOWER LAND;37.177;16.425;368;285;32;28;27
15087  MANSFELD-SUEDHARZ;56.375;22.499;443;413;42;43;34
15088  SAALEKREIS;80.909;30.686;973;771;87;69;53
15089  SALZLANDKREIS;76.090;27.397;945;574;44;43;70
15090  STENDAL;41.547;20.991;499;306;28;38;16
15091  WITTENBERG;54.653;19.383;594;497;34;45;35
;857.555;335.074;9.966;6.851;876;860;578
01001  FLENSBURG,STADT;26.840;16.221;316;337;84;94;14
01002  KIEL,STADT;72.467;35.749;783;915;164;223;19
01003  LUEBECK,STADT;66.814;29.929;927;599;100;197;14
01004  NEUMUENSTER,STADT;27.328;13.860;411;290;39;56;5
01051  DITHMARSCHEN;48.708;30.848;592;377;60;148;18
01053  HERZOGTUM LAUENBURG;74.940;38.997;1.243;577;115;183;15
01054  NORDFRIESLAND;60.768;39.233;801;528;174;408;28
01055  OSTHOLSTEIN;83.161;39.525;1.054;464;108;166;17
01056  PINNEBERG;119.602;52.293;1.348;1.290;224;296;27
01057  PLOEN;51.264;26.801;555;416;66;133;15
