Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige
;;;;;;;
08111  STUTTGART,STADT;196.371;96.958;1.978;4.817;1.775;1.590;79
08115  BOEBLINGEN;164.557;82.438;1.448;3.220;1.003;1.253;84
08116  ESSLINGEN;219.852;104.219;1.937;2.716;568;906;68
08117  GOEPPINGEN;106.944;54.041;1.264;1.175;196;308;40
08118  LUDWIGSBURG;226.185;97.531;2.206;2.627;655;875;73
08119  REMS-MURR-KREIS;178.573;79.105;1.886;1.811;505;622;46
08121  HEILBRONN,STADT;43.752;21.795;505;530;108;121;9
08125  HEILBRONN;149.133;87.694;1.623;2.355;440;619;41
08126  HOHENLOHEKREIS;44.286;36.450;643;418;103;188;9
08127  SCHWAEBISCH-HALL;75.288;49.421;1.182;709;174;290;25
08128  MAIN-TAUBER-KREIS;53.236;33.210;748;836;94;115;17
08135  HEIDENHEIM;53.229;28.030;708;396;90;117;11
08136  OSTALBKREIS;126.574;72.847;1.336;1.606;395;427;20
;1.637.980;843.739;17.464;23.216;6.106;7.431;522
08211  BADEN-BADEN,STADT;21.893;12.004;157;323;68;92;5
08212  KARLSRUHE,STADT;90.320;47.528;1.259;1.228;244;342;35
08215  KARLSRUHE;184.610;86.928;2.064;1.844;319;561;52
08216  RASTATT;99.629;48.135;971;914;137;245;25
08221  HEIDELBERG,STADT;38.871;20.444;399;544;87;138;19
08222  MANNHEIM,STADT;99.394;48.971;1.020;1.369;243;263;21
08225  NECKAR-ODENWALD-KREIS;58.354;33.130;665;528;101;109;17
08226  RHEIN-NECKAR-KREIS;230.404;112.205;2.280;3.344;1.525;714;71
08231  PFORZHEIM,STADT;40.881;19.378;430;440;95;140;9
08235  CALW;64.474;36.942;850;501;92;263;22
08236  ENZKREIS;88.358;40.043;992;744;172;279;31
08237  FREUDENSTADT;45.457;29.163;476;482;90;140;12
;1.062.645;534.871;11.563;12.261;3.173;3.286;319
08311  FREIBURG I.BREISG.STADT;57.133;33.315;784;813;165;315;18
08315  BREISGAU-HOCHSCHWARZWALD;100.672;53.393;1.001;1.180;210;448;43
08316  EMMENDINGEN;65.971;32.060;678;637;108;217;13
08317  ORTENAUKREIS;174.202;90.647;1.508;1.293;281;492;49
08325  ROTTWEIL;57.177;34.074;546;484;113;129;19
08326  SCHWARZWALD-BAAR-KREIS;83.664;44.203;742;996;196;201;40
08327  TUTTLINGEN;53.890;32.090;472;542;137;155;17
08335  KONSTANZ;109.292;46.040;1.301;1.375;244;359;34
08336  LOERRACH;92.538;40.727;513;1.265;194;363;36
08337  WALDSHUT;70.591;33.874;417;768;162;247;33
;865.130;440.423;7.962;9.353;1.810;2.926;302
08415  REUTLINGEN;114.666;59.940;1.423;1.148;356;369;33
08416  TUEBINGEN;78.214;43.214;1.285;896;241;260;30
08417  ZOLLERNALBKREIS;81.337;43.092;899;780;161;206;15
08421  ULM,STADT;39.967;25.112;479;458;128;183;14
08425  ALB-DONAU-KREIS;78.257;45.692;880;490;124;206;23
08426  BIBERACH;77.868;49.013;809;621;120;252;15
08435  BODENSEEKREIS;88.249;45.315;887;1.131;217;352;32
08436  RAVENSBURG;108.250;65.826;1.138;835;196;408;37
08437  SIGMARINGEN;51.285;31.888;649;707;79;119;13
;718.093;409.092;8.449;7.066;1.622;2.355;212
;4.283.848;2.228.125;45.438;51.896;12.711;15.998;1.355
09161  INGOLSTADT,STADT;59.373;34.035;715;2.848;522;972;12
09162  MUENCHEN,STADT;437.002;270.546;3.796;11.110;3.370;3.122;114
09163  ROSENHEIM,STADT;21.508;12.440;230;220;54;76;6
09171  ALTOETTING;44.179;24.365;386;541;81;145;12
09172  BERCHTESGADENER LAND;41.200;22.186;304;357;87;121;14
09173  BAD TOELZ-WOLFRATSHAUSEN;47.548;30.128;514;607;158;184;16
09174  DACHAU;58.574;31.036;651;665;131;185;16
09175  EBERSBERG;51.726;30.171;490;697;161;258;15
09176  EICHSTAETT;50.166;31.140;571;448;91;158;12
09177  ERDING;52.880;33.008;541;961;109;185;18
09178  FREISING;63.064;42.108;791;795;152;383;19
09179  FUERSTENFELDBRUCK;79.966;39.762;802;948;201;251;19
09180  GARMISCH-PARTENKIRCHEN;32.848;17.817;343;366;73;82;13
09181  LANDSBERG AM LECH;48.028;30.468;662;677;121;283;15
09182  MIESBACH;39.329;24.618;324;452;123;176;17
09183  MUEHLDORF A.INN;45.224;26.379;439;647;94;139;6
09184  MUENCHEN;146.756;92.996;1.066;3.284;1.169;1.372;48
09185  NEUBURG-SCHROBENHAUSEN;38.989;24.071;471;394;83;103;7
09186  PFAFFENHOFEN A.D.ILM;48.271;32.487;688;488;100;196;10
09187  ROSENHEIM;104.643;61.168;1.062;944;252;483;25
09188  STARNBERG;53.552;30.989;471;772;246;378;15
09189  TRAUNSTEIN;71.432;41.040;715;638;146;319;13
09190  WEILHEIM-SCHONGAU;54.014;31.108;656;551;145;213;8
;1.690.272;1.014.066;16.688;29.410;7.669;9.784;450
09261  LANDSHUT,STADT;22.914;13.317;250;377;93;62;6
09262  PASSAU,STADT;17.552;9.951;110;280;44;57;9
09263  STRAUBING,STADT;17.234;9.445;155;155;59;32;5
09271  DEGGENDORF;45.994;29.711;627;293;81;102;10
09272  FREYUNG-GRAFENAU;30.792;20.477;256;178;55;50;6
09273  KELHEIM;45.783;31.781;713;353;96;156;13
09274  LANDSHUT;60.979;43.220;817;816;160;216;10
