Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
14713  LEIPZIG, STADT;164.873;58.451;2.121;5.772;1.136;1.359;63
14729  LEIPZIG;105.893;44.446;1.351;2.368;469;632;36
14730  NORDSACHSEN;80.294;33.655;821;1.662;325;316;200
;351.060;136.552;4.293;9.802;1.930;2.307;886
;1.525.961;591.500;15.083;37.123;7.163;7.978;23
15001  DESSAU-ROSSLAU,STADT;30.814;10.053;332;845;161;128;56
15002  HALLE (SAALE),STADT;70.286;22.021;770;1.991;327;366;39
15003  MAGDEBURG, STADT;79.814;28.993;739;2.146;565;473;19
15081  ALTMARKKREIS SALZWEDEL;31.371;18.526;367;567;149;136;41
15082  ANHALT-BITTERFELD;67.090;24.218;453;1.259;195;205;29
15083  BOERDE;70.864;33.634;747;1.137;283;309;58
15084  BURGENLANDKREIS;72.455;27.398;841;1.457;288;261;50
15085  HARZ;83.256;37.559;1.034;1.696;360;387;20
15086  JERICHOWER LAND;36.931;16.801;331;730;131;125;34
15087  MANSFELD-SUEDHARZ;55.547;22.740;379;1.109;165;192;44
15088  SAALEKREIS;80.653;31.481;803;1.980;320;279;54
15089  SALZLANDKREIS;74.859;28.440;733;1.475;224;192;15
15090  STENDAL;40.656;21.810;434;838;148;168;36
15091  WITTENBERG;53.756;20.044;549;1.138;139;155;518
;848.352;343.718;8.512;18.368;3.455;3.376;18
01001  FLENSBURG,STADT;27.101;16.459;251;879;266;321;19
01002  KIEL,STADT;72.647;35.631;753;2.371;655;782;11
01003  LUEBECK,STADT;67.458;30.349;809;1.906;602;608;7
01004  NEUMUENSTER,STADT;27.485;14.217;321;796;216;408;21
01051  DITHMARSCHEN;48.973;32.253;515;923;204;504;17
01053  HERZOGTUM LAUENBURG;76.002;40.011;1.054;1.768;520;795;40
01054  NORDFRIESLAND;61.335;41.097;665;1.420;471;1.118;18
01055  OSTHOLSTEIN;84.881;41.190;925;1.663;511;670;36
01056  PINNEBERG;120.754;52.584;1.161;3.772;1.042;1.327;12
01057  PLOEN;51.942;27.495;459;1.073;287;550;20
01058  RENDSBURG-ECKERNFOERDE;104.576;66.731;1.210;2.573;631;1.171;30
01059  SCHLESWIG-FLENSBURG;72.277;54.949;964;1.450;403;869;30
01060  SEGEBERG;108.579;56.259;1.219;3.188;898;1.239;14
01061  STEINBURG;51.335;29.395;618;944;221;437;29
01062  STORMARN;99.470;49.514;1.058;3.117;915;1.212;322
;1.074.815;588.134;11.982;27.843;7.842;12.011;25
16051  ERFURT, STADT;66.403;28.864;683;2.063;595;532;11
16052  GERA, STADT;32.545;12.116;294;928;160;142;17
16053  JENA, STADT;29.943;13.806;293;1.213;248;256;9
16054  SUHL, STADT;13.602;6.114;108;514;92;54;10
16055  WEIMAR, STADT;20.050;8.830;205;653;157;1.685;10
16056  EISENACH, STADT;14.686;5.818;129;467;120;103;13
16061  EICHSFELD;38.061;21.020;512;749;213;203;13
16062  NORDHAUSEN;32.719;13.668;292;625;165;145;20
16063  WARTBURGKREIS;49.520;22.991;532;963;182;230;10
16064  UNSTRUT-HAINICH-KREIS;38.195;17.531;372;814;229;199;13
16065  KYFFHAEUSERKREIS;30.565;13.058;236;473;78;113;28
16066  SCHMALKALDEN-MEININGEN;49.589;25.179;420;1.085;227;244;31
16067  GOTHA;51.952;22.814;442;1.136;227;233;10
16068  SOEMMERDA;27.233;12.686;232;422;122;90;16
16069  HILDBURGHAUSEN;24.975;13.603;200;492;78;93;16
16070  ILM-KREIS;39.110;18.382;393;868;169;323;9
16071  WEIMARER-LAND;32.341;15.120;287;775;150;165;13
16072  SONNEBERG;24.793;9.315;200;524;105;85;15
16073  SAALFELD-RUDOLSTADT;41.158;18.017;374;894;177;148;15
16074  SAALE-HOLZLANDKREIS;33.093;15.127;386;870;193;144;19
16075  SAALE-ORLA-KREIS;33.231;16.469;292;524;126;123;14
16076  GREIZ;40.592;18.213;387;882;131;138;13
16077  ALTENBURGER LAND;37.437;12.884;361;660;119;110;350
;801.793;361.625;7.630;18.594;4.063;5.558;5
;19.924;19.027;404;1.008;438;338;10.116
;31.435.340;15.060.124;429.832;1.004.089;279.861;309.083;
