Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
09363  WEIDEN I.D.OPF.,STADT;16.763;8.634;159;502;164;123;14
09371  AMBERG-SULZBACH;43.735;25.317;378;919;261;414;14
09372  CHAM;54.226;33.456;641;957;228;393;8
09373  NEUMARKT I.D.OPF.;53.898;33.820;485;1.372;362;565;11
09374  NEUSTADT A.D.WALDNAAB;40.333;23.712;378;815;235;302;28
09375  REGENSBURG;78.364;45.453;975;2.176;542;782;12
09376  SCHWANDORF;59.687;39.199;726;1.442;360;443;7
09377  TIRSCHENREUTH;31.194;16.806;228;564;157;178;124
;447.336;263.338;4.632;11.965;3.182;4.148;11
09461  BAMBERG,STADT;25.620;13.995;355;835;234;352;6
09462  BAYREUTH,STADT;25.612;12.792;213;965;277;346;7
09463  COBURG,STADT;16.359;7.943;139;484;111;190;6
09464  HOF,STADT;17.969;6.907;119;539;168;185;16
09471  BAMBERG;63.936;36.006;631;1.144;343;604;9
09472  BAYREUTH;45.906;24.483;389;880;208;352;7
09473  COBURG;40.112;17.407;435;815;215;328;13
09474  FORCHHEIM;50.482;26.065;443;1.164;334;547;10
09475  HOF;42.806;19.744;402;867;208;283;17
09476  KRONACH;30.045;14.600;216;542;142;186;9
09477  KULMBACH;32.138;16.346;332;898;199;253;13
09478  LICHTENFELS;29.462;14.599;232;497;137;221;15
09479  WUNSIEDEL I.FICHTELGEB.;31.864;14.458;206;671;182;210;139
;452.311;225.345;4.112;10.301;2.758;4.057;2
09561  ANSBACH,STADT;16.038;8.637;211;559;143;172;9
09562  ERLANGEN,STADT;35.585;18.316;350;1.307;415;465;10
09563  FUERTH,STADT;42.549;19.436;374;1.449;359;428;38
09564  NUERNBERG,STADT;157.087;81.677;1.252;6.922;1.690;1.562;6
09565  SCHWABACH,STADT;17.602;7.675;106;808;161;214;22
09571  ANSBACH;76.919;46.737;900;1.567;476;683;31
09572  ERLANGEN-HOECHSTADT;57.830;31.311;519;2.117;959;741;16
09573  FUERTH;52.768;22.742;363;1.337;340;487;12
09574  NUERNBERGER LAND;72.222;36.111;527;2.221;576;737;18
09575  NEUSTADT/AISCH-WINDSHEIM;40.267;25.979;487;962;307;495;15
09576  ROTH;54.003;30.760;392;1.644;427;508;11
09577  WEISSENBURG-GUNZENHAUSEN;38.484;22.670;423;908;284;445;190
;661.354;352.051;5.904;21.801;6.137;6.937;6
09661  ASCHAFFENBURG,STADT;27.758;13.384;364;1.014;399;334;3
09662  SCHWEINFURT,STADT;17.350;10.482;266;910;372;191;16
09663  WUERZBURG,STADT;40.639;21.308;694;1.776;568;568;20
09671  ASCHAFFENBURG;77.023;37.955;892;2.209;692;777;14
09672  BAD KISSINGEN;41.851;27.503;622;792;204;407;14
09673  RHOEN-GRABFELD;30.401;22.801;459;726;210;721;15
09674  HASSBERGE;33.055;24.318;583;577;187;345;11
09675  KITZINGEN;38.042;22.277;517;1.036;263;390;15
09676  MILTENBERG;53.267;30.752;623;1.868;476;370;18
09677  MAIN-SPESSART;52.532;30.967;788;1.294;309;450;25
09678  SCHWEINFURT;48.829;27.810;745;1.102;303;522;20
09679  WUERZBURG;67.938;35.359;1.108;1.780;472;897;177
;528.685;304.916;7.661;15.084;4.455;5.972;32
09761  AUGSBURG,STADT;90.654;42.593;1.401;3.881;964;797;3
09762  KAUFBEUREN,STADT;16.707;7.923;175;517;109;157;6
09763  KEMPTEN(ALLGAEU),STADT;24.787;13.848;229;902;276;305;2
09764  MEMMINGEN,STADT;16.704;9.557;158;494;141;166;12
09771  AICHACH-FRIEDBERG;55.705;29.575;646;1.597;353;543;22
09772  AUGSBURG;110.067;52.302;1.093;3.761;912;989;15
09773  DILLINGEN A.D.DONAU;41.145;23.129;422;1.093;258;317;12
09774  GUENZBURG;51.806;31.461;456;1.149;350;417;21
09775  NEU-ULM;72.160;35.968;658;1.820;635;627;9
09776  LINDAU (BODENSEE);33.690;17.800;277;782;252;363;16
09777  OSTALLGAEU;57.460;32.938;702;1.381;370;641;21
09778  UNTERALLGAEU;61.677;36.084;621;1.267;311;504;8
09779  DONAU-RIES;55.679;34.241;582;1.752;440;535;17
09780  OBERALLGAEU;63.518;36.595;472;1.396;410;703;196
;751.759;404.014;7.892;21.792;5.781;7.064;1.410
;5.021.392;2.849.085;49.993;188.672;52.070;59.549;396
11000  BERLIN;890.077;280.762;14.667;39.658;9.112;9.085;396
;890.077;280.762;14.667;39.658;9.112;9.085;14
12051  BRANDENBURG/HAVEL,STADT;24.994;8.672;218;727;153;158;22
12052  COTTBUS, STADT;35.799;11.664;314;1.032;175;170;16
12053  FRANKFURT/ODER,STADT;21.256;6.260;308;514;103;85;31
12054  POTSDAM,STADT;52.977;20.744;794;1.842;533;479;35
12060  BARNIM;75.452;28.342;1.298;2.049;421;506;37
12061  DAHME-SPREEWALD;70.774;30.689;1.307;2.283;489;460;34
12062  ELBE-ELSTER;43.049;18.834;550;919;125;182;30
12063  HAVELLAND;65.284;26.179;940;1.942;333;472;42
12064  MAERKISCH-ODERLAND;82.982;31.816;1.305;2.173;411;415;31
12065  OBERHAVEL;87.353;32.940;1.481;2.416;484;621;32
12066  OBERSPREEWALD-LAUSITZ;45.143;18.944;489;987;131;108;34
12067  ODER-SPREE;74.898;30.140;1.058;1.547;306;367;22
12068  OSTPRIGNITZ-RUPPIN;38.395;19.069;612;631;157;164;42
12069  POTSDAM-MITTELMARK;85.763;40.117;1.204;2.198;579;721;14
12070  PRIGNITZ;29.885;14.970;338;632;164;116;27
12071  SPREE-NEISSE;50.568;18.844;490;878;144;182;26
12072  TELTOW-FLAEMING;70.469;30.944;1.158;1.783;458;446;21
12073  UCKERMARK;47.743;18.796;566;1.038;160;183;510
;1.002.784;407.964;14.430;25.591;5.326;5.835;44
04011  BREMEN, STADT;161.717;74.623;2.480;5.881;1.796;1.297;14
04012  BREMERHAVEN,STADT;34.677;15.247;564;1.079;215;212;58
;196.394;89.870;3.044;6.960;2.011;1.509;150
02000  HAMBURG;520.882;248.828;5.344;23.541;7.332;7.035;150
;520.882;248.828;5.344;23.541;7.332;7.035;13
06411  DARMSTADT,STADT;47.670;21.844;700;2.225;735;708;76
06412  FRANKFURT AM MAIN,STADT;203.620;119.615;2.325;14.491;5.162;2.304;33
06413  OFFENBACH AM MAIN,STADT;36.651;18.479;483;1.845;500;415;30
06414  WIESBADEN,STADT;117.321;47.347;1.160;5.388;2.099;2.276;28
06431  BERGSTRASSE;117.641;51.841;1.346;3.683;970;1.124;26
06432  DARMSTADT-DIEBURG;129.748;52.876;1.854;4.678;1.254;1.233;22
06433  GROSS-GERAU;105.833;45.718;1.421;3.075;963;1.118;54
06434  HOCHTAUNUSKREIS;106.287;48.719;979;5.336;1.352;1.545;50
06435  MAIN-KINZIG-KREIS;172.126;80.081;1.940;5.976;1.124;1.238;28
06436  MAIN-TAUNUS-KREIS;113.552;52.918;873;6.764;1.246;1.012;4
06437  ODENWALDKREIS;41.580;19.060;580;1.299;289;334;36
06438  OFFENBACH;147.096;62.287;1.645;5.419;1.307;1.103;31
06439  RHEINGAU-TAUNUS-KREIS;83.118;35.263;964;2.525;752;934;31
06440  WETTERAUKREIS;128.280;58.902;1.290;4.343;1.158;1.129;462
;1.550.523;714.950;17.560;67.047;18.911;16.473;35
06531  GIESSEN;100.424;49.811;1.531;3.376;830;975;35
06532  LAHN-DILL-KREIS;107.566;52.612;1.190;2.597;700;711;28
06533  LIMBURG-WEILBURG;73.274;35.707;1.092;2.206;573;677;19
06534  MARBURG-BIEDENKOPF;95.995;43.895;1.176;2.131;500;819;15
06535  VOGELSBERGKREIS;46.364;24.298;547;1.076;215;308;132
;423.623;206.323;5.536;11.386;2.818;3.490;14
06611  KASSEL,STADT;59.003;28.532;946;2.066;658;656;27
06631  FULDA;90.550;49.252;1.002;2.232;536;785;19
06632  HERSFELD-ROTENBURG;50.632;27.056;730;831;245;325;32
06633  KASSEL, LAND;102.339;44.275;1.510;2.401;689;984;23
06634  SCHWALM-EDER-KREIS;77.630;38.370;1.428;1.689;405;703;15
06635  WALDECK-FRANKENBERG;67.254;35.251;1.100;1.276;311;616;14
06636  WERRA-MEISSNER-KREIS;40.555;20.980;645;686;194;268;144
;487.963;243.716;7.361;11.181;3.038;4.337;738
;2.462.109;1.164.989;30.457;89.614;24.767;24.300;42
13003  ROSTOCK, STADT;59.586;24.016;655;1.674;355;296;22
13004  SCHWERIN, STADT;29.958;13.296;362;975;200;154;42
13071  MECKLENBURGISCHE SEENPLA.;94.503;48.083;938;2.097;345;296;46
13072  ROSTOCK;79.026;45.400;859;1.858;387;405;34
