GENESIS-Tabelle: 14339-01-03-4
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.10.2018;09180;    Garmisch-Partenkirchen, Landkreis;65194;74,4;47879;19560;2259;7903;1772;872;4265;11250
14.10.2018;09181;    Landsberg am Lech, Landkreis;89870;77,9;69147;25092;4602;17433;3677;1863;5719;10763
14.10.2018;09182;    Miesbach, Landkreis;72825;76,7;55178;23003;3895;9746;2915;1136;4406;10078
14.10.2018;09183;    Mühldorf a.Inn, Landkreis;85378;71,4;60177;27621;4974;6809;1954;1281;7375;10165
14.10.2018;09184;    München, Landkreis;233873;79,2;183686;59792;19863;43981;15670;4716;13358;26308
14.10.2018;09185;    Neuburg-Schrobenhausen, Landkreis;71720;71,9;50998;19822;3018;5465;1705;1129;5847;14014
14.10.2018;09186;    Pfaffenhofen a.d.Ilm, Landkreis;92897;73,6;67552;25779;5655;8553;4649;1562;8558;12797
14.10.2018;09187;    Rosenheim, Landkreis;193991;76,1;146188;57464;9176;25660;7409;3526;14626;28329
14.10.2018;09188;    Starnberg, Landkreis;95997;80,1;76139;24153;6420;20213;7273;1784;5076;11223
14.10.2018;09189;    Traunstein, Landkreis;133391;72,8;95975;38318;7306;17611;3392;2506;8530;18315
14.10.2018;09190;    Weilheim-Schongau, Landkreis;101752;77,5;77844;27505;6129;14437;3603;1928;6624;17620
14.10.2018;092;  Niederbayern, Regierungsbezirk;935525;69,6;644258;245378;40796;68251;30320;14595;86438;158482
14.10.2018;09261;    Landshut;49011;68,7;33282;9138;2519;6856;2441;1135;3419;7775
14.10.2018;09262;    Passau;37809;67,8;25415;8073;2854;4801;1961;1136;2746;3845
14.10.2018;09263;    Straubing;34025;61,4;20675;8776;1269;2619;930;801;2883;3399
14.10.2018;09271;    Deggendorf, Landkreis;91726;68,1;61759;26446;3396;5457;2088;1230;9635;13508
14.10.2018;09272;    Freyung-Grafenau, Landkreis;63657;68,6;43103;15675;2203;2961;3714;775;6731;11045
14.10.2018;09273;    Kelheim, Landkreis;88212;70,5;61570;20745;3916;6773;2062;1281;7089;19706
14.10.2018;09274;    Landshut, Landkreis;118247;74,7;87472;27117;5202;10889;3845;1670;10286;28465
14.10.2018;09275;    Passau, Landkreis;150137;68,8;102191;41057;7773;9374;4555;2405;14748;22282
14.10.2018;09276;    Regen, Landkreis;62083;66,3;40774;15804;2680;3834;2631;749;6882;8195
14.10.2018;09277;    Rottal-Inn, Landkreis;91910;69,9;63438;27430;3226;6370;2370;1378;7445;15221
14.10.2018;09278;    Straubing-Bogen, Landkreis;77539;74,5;57120;25800;2344;4416;2072;1049;7595;13845
14.10.2018;09279;    Dingolfing-Landau, Landkreis;71169;67,5;47463;19321;3417;3904;1654;990;6982;11197
14.10.2018;093;  Oberpfalz, Regierungsbezirk;851366;72,9;613791;244594;58887;76102;21962;18127;75648;118472
14.10.2018;09361;    Amberg;32411;64,0;20440;7689;2395;2839;920;856;2663;3079
14.10.2018;09362;    Regensburg;105169;70,5;73552;20852;7319;19136;4049;4062;6732;11403
14.10.2018;09363;    Weiden i.d.OPf.;32535;64,8;20842;7892;2879;2747;1223;837;2764;2502
14.10.2018;09371;    Amberg-Sulzbach, Landkreis;81804;74,6;60293;23742;8358;6480;1909;1669;6814;11323
14.10.2018;09372;    Cham, Landkreis;101900;70,9;71289;29745;3761;5557;2349;1498;11448;16932
14.10.2018;09373;    Neumarkt i.d.OPf., Landkreis;101202;76,3;76366;36072;4668;9501;2488;1996;7760;13882
14.10.2018;09374;    Neustadt a.d.Waldnaab, Landkreis;75865;75,2;56378;24206;7463;4815;1770;1237;7291;9598
14.10.2018;09375;    Regensburg, Landkreis;147099;75,7;110408;42720;8327;14490;3765;2663;13489;24955
14.10.2018;09376;    Schwandorf, Landkreis;114338;71,3;80557;31381;8859;6924;2338;2305;11948;16802
14.10.2018;09377;    Tirschenreuth, Landkreis;59043;74,8;43669;20298;4860;3615;1153;1005;4742;7998
14.10.2018;094;  Oberfranken, Regierungsbezirk;839098;70,9;588422;235397;80159;77408;25010;17076;66120;87253
14.10.2018;09461;    Bamberg;55183;68,5;37414;11718;3709;9974;2227;1960;3866;3962
14.10.2018;09462;    Bayreuth;56443;65,1;36416;12878;5065;7549;2483;1347;2989;4106
14.10.2018;09463;    Coburg;31481;64,4;20087;6662;3523;4238;1132;964;1863;1707
14.10.2018;09464;    Hof;33015;61,7;20086;7158;3861;2414;930;768;2755;2202
14.10.2018;09471;    Bamberg, Landkreis;116048;75,0;86279;40027;5777;10578;3940;2120;12285;11553
14.10.2018;09472;    Bayreuth, Landkreis;84153;74,1;61850;27591;7491;6546;2159;1307;5989;10768
14.10.2018;09473;    Coburg, Landkreis;69716;70,0;48336;18654;9359;5781;1732;1382;5125;6303
14.10.2018;09474;    Forchheim, Landkreis;90087;76,6;68405;25122;4682;10645;3162;1863;6913;16020
14.10.2018;09475;    Hof, Landkreis;76937;71,5;54452;21397;12179;4142;1780;1337;6443;7175
14.10.2018;09476;    Kronach, Landkreis;55125;69,9;37921;17176;6206;3303;917;1060;4139;5122
14.10.2018;09477;    Kulmbach, Landkreis;59041;70,9;41425;15703;8058;4164;1785;978;4341;6398
14.10.2018;09478;    Lichtenfels, Landkreis;53825;68,6;36440;15559;4355;4122;1661;828;4171;5746
14.10.2018;09479;    Wunsiedel i.Fichtelgebirge, Landkreis;58044;68,6;39313;15754;5897;3957;1106;1165;5242;6193
14.10.2018;095;  Mittelfranken, Regierungsbezirk;1274988;71,4;903036;340470;107815;167603;37478;42445;85913;121314
14.10.2018;09561;    Ansbach;30724;63,0;19185;6596;1716;3752;651;1174;2423;2875
14.10.2018;09562;    Erlangen;76439;74,9;56794;17182;7180;15242;3467;3308;3716;6701
14.10.2018;09563;    Fürth;86684;65,6;56411;17185;8897;12246;2879;4155;5778;5273
14.10.2018;09564;    Nürnberg;340137;67,5;227117;77516;33213;47510;11020;15428;22063;20369
14.10.2018;09565;    Schwabach;29987;69,9;20755;8140;2321;4525;937;807;1926;2101
14.10.2018;09571;    Ansbach, Landkreis;140035;71,0;98644;41035;7297;16019;3200;3500;9725;17869
14.10.2018;09572;    Erlangen-Höchstadt, Landkreis;103092;77,2;79056;29783;8861;15426;3488;2612;7110;11777
14.10.2018;09573;    Fürth, Landkreis;91331;74,9;67928;26371;9016;11641;2692;2580;7135;8495
14.10.2018;09574;    Nürnberger Land, Landkreis;129586;76,4;98212;39119;12302;16272;3598;3563;9450;13909
14.10.2018;09575;    Neustadt a.d.Aisch-Bad Windsheim, Landkreis;77230;72,8;55764;25963;4791;6953;1675;1844;4869;9670
14.10.2018;09576;    Roth, Landkreis;97763;75,4;73137;29817;7535;10888;2548;2087;7090;13173
14.10.2018;09577;    Weißenburg-Gunzenhausen, Landkreis;71980;70,4;50036;21766;4687;7131;1326;1391;4632;9104
14.10.2018;096;  Unterfranken, Regierungsbezirk;1013948;71,9;721946;299063;72978;117591;34920;24988;70916;101490
14.10.2018;09661;    Aschaffenburg;49548;63,6;31025;10855;4106;6409;2150;1389;3356;2762
14.10.2018;09662;    Schweinfurt;37332;58,4;21501;7534;2831;3174;917;1359;3142;2545
14.10.2018;09663;    Würzburg;97323;69,0;66663;19990;7131;20040;4523;3436;4611;6933
14.10.2018;09671;    Aschaffenburg, Landkreis;132458;72,3;94571;38288;10877;15361;5575;2636;10353;11483
14.10.2018;09672;    Bad Kissingen, Landkreis;83262;72,2;59528;29417;4582;6904;2325;2206;6325;7770
14.10.2018;09673;    Rhön-Grabfeld, Landkreis;63737;71,5;45113;22555;2976;5736;1758;1724;4060;6306
14.10.2018;09674;    Haßberge, Landkreis;67899;74,0;49737;24082;4258;5545;2018;1685;5563;6587
14.10.2018;09675;    Kitzingen, Landkreis;69142;72,4;49556;19702;4199;7304;2085;1413;4956;9899
14.10.2018;09676;    Miltenberg, Landkreis;95271;70,1;65984;26181;7037;9267;3455;2019;6700;11326
14.10.2018;09677;    Main-Spessart, Landkreis;99733;74,2;73272;30371;8310;10139;2962;1917;6740;12835
14.10.2018;09678;    Schweinfurt, Landkreis;91309;74,8;67611;30882;5644;9196;2476;2381;7425;9610
14.10.2018;09679;    Würzburg, Landkreis;126934;77,4;97388;39208;11031;18519;4680;2825;7689;13437
14.10.2018;097;  Schwaben, Regierungsbezirk;1360794;70,1;943787;360129;72196;161762;44158;26876;106569;172098
14.10.2018;09761;    Augsburg;188369;64,6;120452;37155;13078;29210;6542;6383;13513;14572
14.10.2018;09762;    Kaufbeuren;31207;63,9;19708;6507;1223;3595;813;816;2340;4417
14.10.2018;09763;    Kempten (Allgäu);48229;64,2;30622;8988;2184;6254;2088;1143;3522;6445
14.10.2018;09764;    Memmingen;29258;64,4;18546;6326;1916;3031;938;560;2457;3320
14.10.2018;09771;    Aichach-Friedberg, Landkreis;100366;76,7;76326;31792;5464;12125;3704;1634;8913;12695
14.10.2018;09772;    Augsburg, Landkreis;187596;73,0;135715;51422;11668;21591;6197;3115;15488;26235
14.10.2018;09773;    Dillingen a.d.Donau, Landkreis;72300;68,6;48925;19910;3549;5226;2612;1009;6814;9807
14.10.2018;09774;    Günzburg, Landkreis;89710;68,1;60520;25860;3772;8243;2616;1350;8585;10095
14.10.2018;09775;    Neu-Ulm, Landkreis;122584;64,5;78092;27660;7226;14630;4124;2270;10139;12044
14.10.2018;09776;    Lindau (Bodensee), Landkreis;59117;68,7;40095;14485;2531;9040;1889;1445;3046;7660
14.10.2018;09777;    Ostallgäu, Landkreis;105313;74,4;77636;31985;5318;12167;2849;1797;7079;16443
14.10.2018;09778;    Unterallgäu, Landkreis;108167;72,5;77571;32666;3851;10525;3416;1647;9804;15664
14.10.2018;09779;    Donau-Ries, Landkreis;100078;73,4;72553;33068;6367;9725;2533;1822;7542;11498
14.10.2018;09780;    Oberallgäu, Landkreis;118500;74,2;87028;32308;4053;16404;3839;1888;7331;21207
__________
"zu ""Wahlberechtigte"":
Bayern: Stimmberechtigte
 
zu ""Gültige Stimmen"":
Bayern: Gesamtstimmen geteilt durch zwei; durch diese
Berechnung der Einzelpositionen entstehen in den Zeilen- und
Spaltensummen Rundungsdifferenzen.
 
zu ""Gültigen Stimmen nach Parteien"":
Bayern: Gesamtstimmen geteilt durch zwei; durch diese
Berechnung der Einzelpositionen entstehen in den Zeilen- und
Spaltensummen Rundungsdifferenzen.
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 06.06.2021 / 21:26:50
